timestamp,open,high,low,close,volume
2024-11-22 21:00:00,5.5074,5.5074,5.439,5.5008,100941.2045
2024-11-22 22:00:00,5.4968,5.5025,5.3621,5.3863,134240.0767
2024-11-22 23:00:00,5.3863,5.45,5.3763,5.4492,66080.4593
2024-11-23 00:00:00,5.4499,5.5175,5.4405,5.5085,66000.233
2024-11-23 01:00:00,5.5093,5.5749,5.5086,5.5731,84291.8917
2024-11-23 02:00:00,5.5728,5.5751,5.47,5.493,63892.3677
2024-11-23 03:00:00,5.4941,5.5646,5.4831,5.5611,49339.0614
2024-11-23 04:00:00,5.5599,5.5704,5.5181,5.5646,129044.4474
2024-11-23 05:00:00,5.5632,5.6241,5.5266,5.5681,94794.5017
2024-11-23 06:00:00,5.5695,5.5973,5.5558,5.5892,65347.3008
2024-11-23 07:00:00,5.5886,5.6578,5.5761,5.6438,83007.5601
2024-11-23 08:00:00,5.6438,5.656,5.6026,5.6373,74742.65
2024-11-23 09:00:00,5.6356,5.6573,5.5915,5.6505,69368.9251
2024-11-23 10:00:00,5.6508,5.7056,5.6345,5.6897,72657.83
2024-11-23 11:00:00,5.69,5.715,5.6479,5.6694,83667.8988
2024-11-23 12:00:00,5.6714,5.7909,5.6644,5.7909,128774.9859
2024-11-23 13:00:00,5.7878,6.238,5.775,6.2021,391264.2873
2024-11-23 14:00:00,6.2026,6.3639,6.0211,6.2404,361934.87049315
2024-11-23 15:00:00,6.2339,6.3389,6.1595,6.2709,197758.044
2024-11-23 16:00:00,6.2679,6.5674,6.056,6.4872,516750.05261707
2024-11-23 17:00:00,6.5,6.6,6.31,6.4815,239768.6797
2024-11-23 18:00:00,6.483,6.4848,6.339,6.3482,95495.56673104
2024-11-23 19:00:00,6.3478,6.4001,6.2367,6.2991,92913.5595
2024-11-23 20:00:00,6.2983,6.3099,6.1387,6.251,95508.9332
2024-11-23 21:00:00,6.2506,6.351,6.2471,6.3492,65732.8399
2024-11-23 22:00:00,6.3488,6.532,6.3488,6.4606,106235.1075
2024-11-23 23:00:00,6.4605,6.4605,6.2887,6.3133,72661.3471
2024-11-24 00:00:00,6.3135,6.5096,6.3033,6.431,98901.6652
2024-11-24 01:00:00,6.4359,6.5143,6.4144,6.4665,68958.8717
2024-11-24 02:00:00,6.4654,6.4896,6.3576,6.3663,56833.0138
2024-11-24 03:00:00,6.3631,6.4461,6.3532,6.4047,68014.5588
2024-11-24 04:00:00,6.4069,6.4994,6.3627,6.4291,61772.5518
2024-11-24 05:00:00,6.4226,6.5619,6.3866,6.5212,117367.7354
2024-11-24 06:00:00,6.5239,6.5939,6.4699,6.4741,119369.5947
2024-11-24 07:00:00,6.4729,6.485,6.412,6.4265,57777.9639
2024-11-24 08:00:00,6.4255,6.4579,6.243,6.2578,101079.8339
2024-11-24 09:00:00,6.2581,6.3118,6.192,6.2959,102522.8503
2024-11-24 10:00:00,6.2972,6.2976,6.1245,6.1773,79127.5331
2024-11-24 11:00:00,6.1741,6.1976,6.0,6.0,124616.9255
2024-11-24 12:00:00,6.0013,6.08,5.7781,5.9315,198574.3253
2024-11-24 13:00:00,5.9284,6.0829,5.8999,6.0422,92514.11940367
2024-11-24 14:00:00,6.0357,6.0367,5.9029,5.9959,88851.8916
2024-11-24 15:00:00,5.9955,6.0063,5.8655,5.8796,79625.4853
2024-11-24 16:00:00,5.8773,6.207,5.8508,6.1405,162677.54592303
2024-11-24 17:00:00,6.1378,6.1378,6.0158,6.0778,91486.2455
2024-11-24 18:00:00,6.0767,6.1125,6.0575,6.0769,60890.97
2024-11-24 19:00:00,6.076,6.0816,6.0099,6.0554,51339.3924
2024-11-24 20:00:00,6.0544,6.116,6.035,6.1137,59991.9873
2024-11-24 21:00:00,6.1115,6.1159,6.0688,6.114,49775.88888584
2024-11-24 22:00:00,6.1148,6.1659,6.0984,6.1499,55104.2403
2024-11-24 23:00:00,6.1492,6.1819,6.11,6.1509,53734.763
2024-11-25 00:00:00,6.1512,6.178,6.0788,6.108,56320.0142
2024-11-25 01:00:00,6.1082,6.1196,5.955,6.0416,76857.8775
2024-11-25 02:00:00,6.0391,6.1232,6.0309,6.0743,50550.854
2024-11-25 03:00:00,6.0775,6.0982,6.0417,6.0753,50474.2049
2024-11-25 04:00:00,6.0748,6.1383,6.0601,6.0798,60881.79654395
2024-11-25 05:00:00,6.0808,6.1404,6.0729,6.1161,61016.9677
2024-11-25 06:00:00,6.1147,6.1454,6.0867,6.1015,120668.5833
2024-11-25 07:00:00,6.0994,6.1555,6.0621,6.1079,57034.4098
2024-11-25 08:00:00,6.1079,6.1868,6.0984,6.1748,118430.9816
2024-11-25 09:00:00,6.1712,6.2478,6.1674,6.1896,118255.4841
2024-11-25 10:00:00,6.1912,6.2784,6.1401,6.2576,75100.8232
2024-11-25 11:00:00,6.2541,6.2973,6.1791,6.229,99323.0532
2024-11-25 12:00:00,6.2301,6.2562,6.1697,6.2155,60936.4198
2024-11-25 13:00:00,6.2143,6.2565,6.0931,6.1421,120841.3162
2024-11-25 14:00:00,6.1421,6.1609,6.1421,6.1422,3765.4553
